,X.1,OID,g_number,original_g,Area,STATION,STNAME,SHORTNAME,ZONE,EASTING,NORTHING,GRDATUM,LATITUDE,LONGITUDE,LLDATUM,POSACC,ELEV,ELEVACC,FIELD,LAB,ACTIVE,COMMENCED,CEASED,REGION,CATCHAREA,Include,Reason,Basin,Type,Number,DSMajorDiv,OpenDate,CloseDate,Record,NumberFlow,Active_1,F10Yrecord,F3500Readi,OBJECTID,Field1,X,V1,hydroState,StationID,start_EC,end_EC,Q_hrly_ct,Q_hrly_NA,Q_hrly_NA_gap,Q_dly_ct,Q_dly_NA,Q_dly_NA_gap,C_hrly_ct,C_hrly_NA,C_hrly_NA_gap,C_dly_ct,C_dly_NA,C_dly_NA_gap,EC_20,salt_loads,EC_SENS_uscm_mean,TDS,q,p,runoff,
2,4,-1,234201,234201,1155174388,234201,WOADY YALOAK RIVER @ CRESSY (YARIMA),WOADY YALOAK@CRESSY,54,732002,5789557,UTM,-38.01187153,143.6426602,WGS84,9,0,1,Y,Y,1,8/5/1955,NULL,234,1158,Y,NA,234,2,1,NA,8/5/1955,NULL,61.87945205,19520,Y,Y,Y,58,58,X.234201B.,234201B,1,234201,5/14/1993,6/14/2022 23:00,254975,1,1,10623,1,1,253792,1184,602,10560,64,26,1,1,6552.671929,2599.737016,16.23141838,582.5316543,0.022983665,
4,7,-1,235211,235211,269421555,235211,KENNEDYS CREEK @ KENNEDYS CREEK,KENNEDYS @ KENNEDYS,54,696535,5726391,UTM,-38.58909395,143.2565402,WGS84,9,0,1,Y,Y,1,17/06/1964,NULL,235,268,Y,NA,235,2,11,NA,17/06/1964,NULL,52.76164384,19122,Y,Y,Y,66,66,X.235211A.,235211A,1,235211,6/23/1994,5/23/2022 23:00,242191,2537,977,10087,110,42,242587,2141,978,10074,123,42,1,NA,661.0037266,379.3898312,116.5936667,892.3552364,0.122189286,
13,25,-1,406213,406213,637636191.6,406213,CAMPASPE RIVER @ REDESDALE,CAMPASPE @ REDESDALE,55,281169,5900607,UTM,-37.01512226,144.5402949,WGS84,9,0,1,Y,Y,1,1/11/1953,NULL,406,629,Y,NA,406,2,13,NA,1/11/1953,NULL,63.39452055,15022,Y,Y,Y,146,146,X.406213C.,406213C,1,406213,2/20/1991,6/21/2022 23:00,268605,6075,5905,11190,255,247,212254,62426,4922,8154,3291,270,1,1,701.3268688,305.1030598,75.86726861,727.9659491,0.086132553,
14,27,-1,407211,407211,628616790.4,407211,BET BET CREEK @ BET BET,BET BET @ BET BET,54,744672,5910212,UTM,-36.92226552,143.7467637,WGS84,9,0,1,Y,N,1,23/09/1943,NULL,407,635,Y,NA,407,2,11,NA,23/09/1943,NULL,73.50958904,26668,Y,Y,Y,173,173,X.407211B.,407211B,1,407211,3/19/1991,5/23/2022 23:00,255605,17731,6217,10631,758,268,212539,60797,12737,7997,3392,606,1,NA,4938.465421,1827.554207,26.6830286,522.1461661,0.037048797,
22,1,-1,233211,233211,114288844.6,233211,BIRREGURRA CREEK @ RICKETTS MARSH,BIRREGURRA @ RICKETT,54,748217,5757511,UTM,-38.29604249,143.838326,WGS84,9,0,1,Y,Y,1,19/06/1953,NULL,233,87.7,Y,NA,233,2,11,NA,19/06/1953,NULL,63.76438356,23127,Y,Y,Y,32,32,X.233211A.,233211A,1,233211,11/12/1993,6/14/2022 23:00,246423,4185,1329,10259,183,56,132642,117966,15764,3271,7171,685,1,NA,8676.179267,2498.801042,36.82022105,604.3616105,0.052932744,
6,9,-1,236209,236209,8463592358,236209,HOPKINS RIVER @ HOPKINS FALLS,HOPKINS @ HOPKINS F.,54,642039,5755706,UTM,-38.33543732,142.6251911,WGS84,9,0,1,Y,Y,1,23/05/1955,NULL,236,8355,Y,NA,236,2,9,NA,23/05/1955,NULL,61.83835616,22416,Y,Y,Y,75,75,X.236209A.,236209A,1,236209,2/27/1996,6/7/2022 23:00,230352,0,#NAME?,9598,0,#NAME?,220290,10062,2055,9167,431,86,1,NA,4229.313985,1914.01003,15.51438093,586.0560247,0.022883262,
19,2,-1,233223,233223,53869424.43,233223,WARRAMBINE CREEK @ WARRAMBINE,WARRAMBINE @ WARRAMB,54,751925,5798213,UTM,-37.928637,143.8663116,WGS84,9,186,9,Y,N,1,2/6/1970,NULL,233,57,Y,NA,233,2,23,NA,2/6/1970,NULL,46.8,16946,Y,Y,Y,36,36,X.233223A.,233223A,1,233223,8/26/1994,5/29/2022 23:00,238554,4782,4446,9938,201,186,148134,95202,5869,4934,5205,267,1,NA,4712.322045,1818.326565,11.87289995,567.1997411,0.016854871,
26,33,-1,415237,415237,241265780.4,415237,CONCONGELLA CREEK @ STAWELL,CONCONGELLA @STAWELL,54,662048,5900706,UTM,-37.0257429,142.8217764,WGS84,9,207,9,Y,N,1,17/02/1976,NULL,415,239,Y,NA,415,2,37,NA,17/02/1976,NULL,41.08493151,14549,Y,Y,Y,250,250,X.415237A.,415237A,1,415237,5/25/1993,6/20/2022 23:00,254294,562,562,10595,24,24,104705,150151,13089,3012,7607,585,1,NA,4901.15448,1360.939171,18.95757499,511.795283,0.029322547,
9,31,-1,415206,415206,1377046018,415206,WIMMERA RIVER @ GLYNWYLLN,WIMMERA @ GLYNWYLLN,54,665612,5908610,UTM,-36.95390887,142.8600891,WGS84,9,0,1,Y,N,1,5/9/1902,NULL,415,1357,Y,NA,415,2,6,NA,5/9/1902,NULL,114.5863014,22055,Y,Y,Y,247,247,X.415206B.,415206B,1,415206,6/19/1992,6/21/2022 23:00,259696,3344,2656,10819,141,111,240890,22150,5092,9364,1596,236,1,1,3162.219319,1331.070171,28.27767962,545.7111279,0.038809185,
17,30,-1,408202,408202,76539828.93,408202,AVOCA RIVER @ AMPHITHEATRE,AVOCA @ AMPHITHEATRE,54,713544,5882210,UTM,-37.18202767,143.4055621,WGS84,9,0,1,Y,Y,1,1/11/1966,NULL,408,78,Y,NA,408,2,2,NA,1/11/1966,NULL,50.38630137,18214,Y,Y,Y,205,205,X.408202A.,408202A,1,408202,1/15/1997,6/19/2022 23:00,220419,2469,888,9180,107,38,172870,50018,13577,4836,4451,567,1,NA,3536.564949,1249.601475,23.00438634,567.8757578,0.036319743,
10,3,-1,234200,234200,315322984.6,234200,WOADY YALOAK RIVER @ PITFIELD,WOADY YALOAK@PITFI'D,54,727619.6,5812255,UTM,-37.808599,143.58558,WGS84,9,0,1,Y,N,1,7/8/1917,NULL,234,324,Y,NA,234,2,0,NA,7/8/1917,NULL,99.65479452,36239,Y,Y,Y,57,57,X.234200C.,234200C,1,234200,3/2/1995,5/29/2022 23:00,236909,1915,1915,9870,81,81,221331,17493,2958,8199,1752,194,1,NA,2615.500607,1198.36379,20.63844432,615.9554259,0.027305787,
8,11,-1,238219,238219,1110910649,238219,GRANGE BURN @ MORGIANA,GRANGE @ MORGIANA,54,573385,5826157,UTM,-37.70876208,141.8325532,WGS84,9,0,1,Y,N,1,8/7/1963,NULL,238,997,Y,NA,238,2,19,NA,8/7/1963,NULL,53.70684932,15687,Y,Y,Y,82,82,X.238219C.,238219C,1,238219,9/16/2003,6/20/2022 23:00,164330,142,142,6846,7,7,147231,17241,13189,6121,732,550,1,NA,3532.468109,1183.226002,32.48871967,646.180924,0.045631382,
21,28,-1,407239,407239,148061863.8,407239,MIDDLE CREEK @ RODBOROUGH,MIDDLE @ RODBOROUGH,54,758784,5885801,UTM,-37.13826309,143.9133979,WGS84,9,0,1,Y,N,1,20/02/1970,NULL,407,137,Y,NA,407,2,39,NA,20/02/1970,NULL,47.07945205,16930,Y,Y,Y,176,176,X.407239A.,407239A,1,407239,7/1/1995,5/23/2022 23:00,209653,26123,16959,8721,1103,708,142855,92921,18637,4418,5406,785,1,NA,2522.909135,1026.785452,6.404365134,584.407884,0.0117669,
11,5,-1,234209,234209,53124425.73,234209,DEAN CREEK @ LAKE COLAC,DEAN @ LAKE COLAC,54,723596,5753521,UTM,-38.33843869,143.5583248,WGS84,9,0,1,Y,N,1,12/11/1975,NULL,234,49,Y,NA,234,2,9,NA,12/11/1975,NULL,41.35068493,12191,Y,Y,Y,59,59,X.234209A.,234209A,1,234209,4/2/1993,6/29/2022 23:00,256344,0,#NAME?,10681,0,#NAME?,235876,20468,3141,8644,2037,132,1,1,2142.359413,780.3554605,62.49338617,766.3273976,0.074486398,
20,26,-1,406235,406235,211919706.1,406235,WILD DUCK CREEK @ U/S OF HEATHCOTE-MIA MIA ROAD,WILD DUCK CREEK,55,292054,5908425,UTM,-36.94717851,144.6647037,WGS84,9,0,1,Y,Y,1,24/11/1980,NULL,406,214,Y,NA,406,2,35,NA,24/11/1980,NULL,36.31232877,13091,Y,Y,Y,149,149,X.406235A.,406235A,1,406235,1/7/1991,6/22/2022 23:00,273117,2643,724,11375,115,31,169156,106604,12459,6112,5378,539,1,1,1323.571424,565.9486703,71.66894297,658.0201966,0.086602749,
16,20,-1,405240,405240,609799749.9,405240,SUGARLOAF CREEK @ ASH BRIDGE,SUGARLOAF @ ASH BDG,55,327071,5896729,UTM,-37.05963157,145.0550452,WGS84,9,160,9,Y,Y,1,13/10/1966,NULL,405,609,Y,NA,405,2,40,NA,13/10/1966,NULL,50.43835616,16008,Y,Y,Y,122,122,X.405240A.,405240A,1,405240,1/2/1991,5/31/2022 23:00,274841,511,343,11449,24,15,211033,64319,5451,7494,3979,230,1,1,1004.934629,420.9810531,67.63400181,642.55425,0.085501822,
23,23,-1,405248,405248,284685690.2,405248,MAJOR CREEK @ GRAYTOWN,MAJOR CK @ GRAYTOWN,55,314083,5919230,UTM,-36.85444774,144.9145895,WGS84,9,155,1,Y,N,1,19/04/1971,NULL,405,282,Y,NA,405,2,48,NA,19/04/1971,NULL,45.92054795,16605,Y,Y,Y,125,125,X.405248A.,405248A,1,405248,6/11/1991,6/22/2022 23:00,271869,171,171,11327,8,8,112015,160025,18645,4155,7180,781,1,NA,1224.099454,393.3974081,27.53138081,578.2164409,0.035611574,
12,8,-1,236202,236202,1358791012,236202,HOPKINS RIVER @ WICKLIFFE,HOPKINS @ WICKLIFFE,54,652038,5826564,UTM,-37.69542079,142.7245119,WGS84,9,0,1,Y,N,1,10/6/1920,NULL,236,1347,Y,NA,236,2,2,NA,10/6/1920,NULL,96.8109589,19131,Y,Y,Y,74,74,X.236202B.,236202B,1,236202,5/19/1995,6/19/2022 23:00,232577,4879,2497,9687,207,105,219560,17896,3256,7696,2198,178,1,NA,10440.02468,5135.996398,7.998557132,530.2223027,0.011746473,
31,32,-1,415220,415220,519878824.9,415220,AVON RIVER @ WIMMERA HIGHWAY,AVON R @WIMMERA HWY,54,676837,5943136,UTM,-36.64081249,142.9780797,WGS84,9,0,1,Y,Y,1,1/2/1963,NULL,415,596,Y,NA,415,2,20,NA,1/2/1963,NULL,54.1369863,15369,Y,Y,Y,248,248,X.415220B.,415220B,1,415220,1/2/1991,5/23/2022 23:00,237074,38086,12251,9845,1620,622,90811,184349,73599,1931,9534,3112,1,NA,763.1394374,237.0917942,19.67458077,468.885203,0.028348776,
15,15,-1,405226,405226,791155666.5,405226,PRANJIP CREEK @ MOORILIM,PRANJIP @ MOORILIM,55,348630,5945810,UTM,-36.62110636,145.3071965,WGS84,9,0,1,Y,N,1,10/12/1957,NULL,405,787,Y,NA,405,2,26,NA,10/12/1957,NULL,59.28493151,15484,Y,Y,Y,116,116,X.405226B.,405226B,1,405226,1/2/1991,6/20/2022 23:00,273577,2255,1898,11397,96,80,220980,54852,4436,7887,3606,234,1,NA,240.8773748,110.5489221,48.51516215,607.219039,0.066787266,
24,22,-1,405246,405246,202722577.2,405246,CASTLE CREEK @ ARCADIA,CASTLE @ ARCADIA,55,352501,5949237,UTM,-36.59083189,145.3511279,WGS84,9,128,9,Y,Y,1,6/5/1970,NULL,405,164,Y,NA,405,2,46,NA,6/5/1970,NULL,46.8739726,15638,Y,Y,Y,124,124,X.405246A.,405246A,1,405246,1/2/1991,6/20/2022 23:00,273288,2544,1532,11383,110,65,116966,158866,19766,4156,7337,837,1,NA,247.9249251,99.71351824,49.93210675,641.8635131,0.066696441,
5,6,-1,235210,235210,51742323.08,235210,LARDNER CREEK @ GELLIBRAND,LARDNER @ GELLIBRAND,54,721780,5731882,UTM,-38.5337127,143.5443988,WGS84,9,0,1,Y,N,1,18/06/1964,NULL,235,52,Y,NA,235,2,10,NA,18/06/1964,NULL,52.75890411,19115,Y,Y,Y,65,65,X.235210A.,235210A,1,235210,9/22/2004,6/20/2022 23:00,154925,619,524,6453,28,23,147177,8367,3358,6085,396,141,1,NA,180.2324211,95.78003431,354.7735671,1296.88429,0.27171345,forested
7,12,-1,401203,401203,1531388168,401203,MITTA MITTA RIVER @ HINNOMUNJIE,MITTA @ HINNOMUNJIE,55,553931,5910937,UTM,-36.94595897,147.6056955,WGS84,9,556,1,Y,Y,1,17/06/1925,NULL,401,1533,Y,NA,401,2,3,NA,17/06/1925,NULL,91.7890411,31197,Y,Y,Y,92,92,X.401203A.,401203A,1,401203,12/16/2003,6/6/2022 23:00,161952,0,#NAME?,6748,0,#NAME?,150725,11227,1333,6255,493,84,1,NA,37.61112909,19.15376557,245.6573492,1216.856263,0.195647852,forested slopes
